"accountId","productId","interactionYearMonth","Actual_Segment","Potential_Segment","AP_9_segment_label","AP_priority_segment","accountUid"
17640,1016,202305,"low","high","low_high","C","0015f00000UeyfcAAB"
17651,1016,202305,"low","medium","low_medium","D","0015f00000UezdxAAB"
17674,1016,202305,"low","high","low_high","C","0015f00000Uf2V7AAJ"
17687,1016,202305,"low","medium","low_medium","D","0015f00000Uf3wxAAB"
17761,1016,202305,"high","high","high_high","A","0015f00000UfEQQAA3"
17786,1016,202305,"low","medium","low_medium","D","0015f00000UfHQhAAN"
17797,1016,202305,"low","high","low_high","C","0015f00000UfIsQAAV"
17807,1016,202305,"low","medium","low_medium","D","0015f00000UfK3zAAF"
17848,1016,202305,"low","medium","low_medium","D","0015f00000UfPyQAAV"
17916,1016,202305,"low","low","low_low","E","0015f00000UfXcDAAV"
17942,1016,202305,"high","low","high_low","C","0015f00000UfaIxAAJ"
18028,1016,202305,"low","high","low_high","C","0015f00000UflQRAAZ"
18029,1016,202305,"high","high","high_high","A","0015f00000UflbFAAR"
18031,1016,202305,"high","low","high_low","C","0015f00000UfliPAAR"
18051,1016,202305,"low","medium","low_medium","D","0015f00000UfoqFAAR"
18128,1016,202305,"low","medium","low_medium","D","0015f00000UfzlaAAB"
18142,1016,202305,"low","low","low_low","E","0015f00000Ug25BAAR"
18185,1016,202305,"low","low","low_low","E","0015f00000Ug6rcAAB"
18264,1016,202305,"low","low","low_low","E","0015f00000UgGDAAA3"
18307,1016,202305,"low","low","low_low","E","0015f00000UgLhWAAV"
18337,1016,202305,"low","medium","low_medium","D","0015f00000UgQIVAA3"
18343,1016,202305,"low","medium","low_medium","D","0015f00000UgQtjAAF"
18920,1016,202305,"low","medium","low_medium","D","0015f00000UhZ5vAAF"
19104,1016,202305,"low","medium","low_medium","D","0015f00000Ui9C2AAJ"
19120,1016,202305,"low","low","low_low","E","0015f00000UiCetAAF"
19141,1016,202305,"low","medium","low_medium","D","0015f00000UiHvIAAV"
19187,1016,202305,"low","low","low_low","E","0015f00000UiQCFAA3"
19196,1016,202305,"low","low","low_low","E","0015f00000UiS6UAAV"
19265,1016,202305,"low","low","low_low","E","0015f00000UicWzAAJ"
19308,1016,202305,"low","low","low_low","E","0015f00000UilODAAZ"
19334,1016,202305,"low","low","low_low","E","0015f00000Uisj0AAB"
19356,1016,202305,"low","low","low_low","E","0015f00000Uj0OmAAJ"
19397,1016,202305,"low","low","low_low","E","0015f00000UjLuHAAV"
19409,1016,202305,"low","low","low_low","E","0015f00000UjTWWAA3"
19445,1016,202305,"low","low","low_low","E","0015f00000Ujk7UAAR"
